,ASIN,MANUFACTURER,PRODUCT_DESCRIPTION,DESCRIPTION
0,B07CJCGM1M,RetailEZ Pvt Ltd,NA,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No | Outer Material: Polyester, Color: Black | Water Resistance: Water resistant , not Waterproof | Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters | Number of Wheels: 0, Number of compartments: 3 | Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of | Mesh pockets on both sides to accommodate your sipper or bottle and umbrella | Mesh Padding on back & shoulder strap to provide comfort & better back support | Loading EDP related metadata"
1,B084JGJ8PF,Appario Retail Private Ltd,"[' With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage! ', ' Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches. ', ' Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain. ', ' The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day. ', ' Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety. ', ' It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back. ', ' Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials. ']","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. | Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. | Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. | Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks | 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty | Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction. | Loading EDP related metadata | See more product details"
2,B08Z1HHHTD,RetailEZ Pvt Ltd,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side, | Loading EDP related metadata"
3,B09TPX22NF,Appario Retail Private Ltd,"[' Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. ']",Material: Water Resistant Light-Weight Polyester | Compartments: 2 with padding; Laptop Size: 15.6 inch and below | Dimensions: LxWxH - 12.5 x 7.5 x 19 inches | Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders | Closure Type: Zipper | Loading EDP related metadata
4,B07QN4KXWG,Appario Retail Private Ltd,NA,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend. | Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls | Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack. | Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit. | Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only. | Loading EDP related metadata"
5,B088XB5XY8,Appario Retail Private Ltd,NA,"Made of multi-coated 600D polyester Material ; Water Repellent | Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters | Small Size backpack; Laptop Compatibility: No | This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more | With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books | 6 months limited warranty | Loading EDP related metadata | See more product details"
6,B09B26VHXV,RetailEZ Pvt Ltd,NA,"HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings. | FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access | MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella | COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps | WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects | Loading EDP related metadata"
7,B09B26MB5M,RetailEZ Pvt Ltd,"Safari Spartan is a 21 litres lightweight backpack that would be your perfect daily companion. It is perfect for carrying all your essentials when you are ready to go! Made of high grade water resistant polyester fabric, makes this backpack durable and a long lasting accessory. Safari Spartan also comes with a quick access front pocket and side mesh pockets to keep your essentials organized.",Lightweight yet durable backpack/daypack for school use or everyday outings | Front storage pocket keeps smaller items neatly organized and easy to access | Mesh pockets on both sides to accommodate your water bottle and umbrella | Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects | Lining Description: Polyester; Closure Type: Zipper; Age Range Description: Adult | Loading EDP related metadata
8,B084ZHP97M,Dein Kleider,"Spacious and convenient, ideal for use as Messenger Bag.perfect product from DEIN KLEIDER for storing in your Objects to take with you for extra storage.","ERGONOMIC DESIGN: This ergonomic bag features zippered security pockets in the front, back and main compartment. The front pockets can be used to hold personal items like identification cards, keys and more while the extra pocket located in the back can be used for the storage of sleek items like mobile devices. The main storage pocket also has enough room to hold your gadgets, small water bottle cables, chargers etc. This bag can fit tablets and devices with screen sizes of up to 10.5. | WATER, DIRT & SLASH RESISTANT: This cross body bag by Dein Kleider is ideal for people who are adventurous and always on the go. Its padded storage is resistant to water, dirt and even a slash by sharp objects, so you dont have to worry about anything. This bag is durable and heavy duty, ensuring that your gadgets and valuables are safely stored. | CRAFTED IN INDIA: Dein Kleider cross body sling is crafted with perfection by professional Indian artisans in an elegant style that makes your presence truly class apart. Its an ideal companion for a comfortable all day carry to school/college, malls, morning walk, office and meetings. It can also be easily used as travel accessory for a train or bus journey. | Outer Material Type: Nylon | Loading EDP related metadata"
9,B09VCLZ3K4,Half_Moon,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.","SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort | COMFORT WITH QUALITY: This Backpack has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. It also comes with a Rain cover so that you can travel during rainy season without any problem. This backpack be used by everyone be it men? , women? , boys , girls. | SMART & TRENDY LOOKS: This Large rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. | ENDURING & LONG LASTING: This trekking backpack bag is made up of highly durable material, which makes it suitable for all weather conditions including heavy rains and extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself.;Style Name: Casual; Pocket Description: Utility Pocket; Compartment Description: Up To 17 Inches; Age Range Description: Adult;Pattern Name: Solid | OTHER FEATURES: Rain Cover, 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc | Loading EDP related metadata"
10,B07K8KLB3P,Appario Retail Private Ltd,"[' With a slim, sleek and compact   design you will love how this backpack can look small and compact even though   it has 2 spacious compartments to store your gadgets, books, keys and even a   water bottle! ', ' You can take along your gadgets   with you to office, college or anywhere with this backpack, as it has got   allotted storage space that fits a laptop of up-to 15.6 inches. ', ' Designed with great quality   materials that are waterproof, tough and durable, this backpack is like no   other as it features a lightweight design that is easy to maintain as well. ', ' The back straps of the backpack   are padded to give the user maximum support and it made with anti-sweat   fabric, giving you the comfort throughout the day. ', ' Featuring 2 compartments, the main   compartment and a front compartment to store smaller objects/pens/thin   notebooks etc. It also includes a laptop sleeve with a Velcro strap for   safety. ', ' It won’t feel uneasy to carry   heavy things for a longer time with this bag as it has a cushioned back   support that distributes weight evenly between your shoulders and back. ', ' Be it those stormy rainy season,   scorching heat, or freezing winters, this bag can endure as it is crafted,   designed and made with quality and tough materials. ']","Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex | Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps | Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks | Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket | Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry | Loading EDP related metadata | See more product details"
11,B088XH1BP7,Appario Retail Private Ltd,NA,"Made of multi-coated 600D polyester Material ; Water Repellent | Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters | Small Size backpack; Laptop Compatibility: No | This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more | With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books | 6 months limited warranty | Loading EDP related metadata | See more product details"
12,B09B25Z8M2,RetailEZ Pvt Ltd,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.","100% Polyester, High Quality, Durable and Water Resistant Fabric | 2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook | Front storage pocket keeps smaller items neatly organized and easy to access | Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects | Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight | Loading EDP related metadata"
13,B08X2T2M8G,Appario Retail Private Ltd,NA,"PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want. | LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip. | EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag. | DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary. | BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you. | Loading EDP related metadata | See more product details"
14,B08CMQD4BC,Opus_Retail,# Description #,"Material: Vegan leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock & wear-resistant tests, good purses and handbags for women. | Updated Women HMedium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women shoulder bag or hobo cross-body bag.andbags: High-quality Vegan leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock&wear-resistant tests, good purses and handbags for women. | Compartment: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc. | Closure: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business. | 🚩 DISCLAIMER: 🚩 WE HIGHLY RECOMMEND TO CHECK THE PRODUCT SIZE CHART IN 2ND IMAGE BEFORE PURCHASE TO AVOID MISCONCEPTION REGARDING THE PRODUCT SIZE. PRODUCT COLOUR MAY SLIGHTLY VARY DUE TO PHOTOGRAPHIC LIGHTING SOURCES OR YOUR MONITOR SETTINGS. | Loading EDP related metadata"
15,B075MK4TXP,RetailEZ Pvt Ltd,Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape.,"Outer Material: Polyester, Color: Black | Water Resistance: Water resistant | Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2 | Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable, | Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks | Loading EDP related metadata"
16,B07FWQ9HRV,RetailEZ Pvt Ltd,"Full access to the main compartment with the centre zipper opening; It also has an adjustable shoulder strap along with grip handle, which will make it easy to carry it around","Strong stitching at major stress points provide long-lasting durability against daily activities | Mesh side water bottle pocket. Adjustable shoulder strap. | Main large compartment with double zip closure. Tough high durability fabric | High quality double zippers, easy to access. Highly water-resistant finish to save inner items from water splashes | Comes in attractive color combinations. | Loading EDP related metadata"
17,B019HA8AYG,RetailEZ Pvt Ltd,"Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.","Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children. | Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH) | Number of compartments: 1; Compatible Laptop Size : 15.4 | Warranty Type: Manufacturer; 1 Year from the date of purchase | Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper | Loading EDP related metadata"
18,B0BMQ4D59H,Appario Retail Private Ltd,Laptop backpack,"Capacity design: Can hold laptops of 15.6 inches and below. A main spacious packing room, and there are multiple pockets, pen pockets and compartments for small items at the front to keep your items organized and easier to find. An anti-theft pocket located inside the bag keeps your passport, wallet, phone and other valuable items safe and handy | Durable & comfortable: This classic college backpack is made of water-resistant, sturdy and tear-resistant oxford material, with double metal zippers. Comfortable airflow back design with thick but soft multi-panel ventilated padding gives you maximum back support. Lightweight structure and ergonomically shaped shoulder straps with two ""S"" adjustable breathable padding make carrying easy and comfortable | Function& Safe: External dimensions: A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. Internal shockproof belt for fastening your laptop and iPad, preventing them from sliding and bumping. With a hidden anti theft pocket inside the bag protect your valuable items from thieves. Well made for international airplane travel and day trip | Ideal Gift: This fashionable laptop backpack can be a great companion for travel, business, everyday use and outdoor activities. Also, a perfect college high school student backpack for boys, girls, teens. Practical gifts for teens, boys, girls, friends, mother, father, her or him. | Loading EDP related metadata | See more product details"
19,B07G4F6XFH,RetailEZ Pvt Ltd,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.","Outer material: synthetic, color: brown | Waterproof | Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH) | Number of compartments: 2 | Laptop compatibility: yes, laptop size: 16strap type: adjustable | Anti theft waterproof bag with anti sweat fabric on back and shoulder straps | USB and headphone cable slot | Loading EDP related metadata | External bottle pocket | Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot . | Show More"
20,B0B6CH21F9,RetailEZ Pvt Ltd,Skybags Active Nxt 25cm PU Cabin Blue Duffle Bag,Spacious Main compartment | Soft Grip handles | Comfertable Shoulder Strap | Easy access front pocket | Stylish Design | Loading EDP related metadata
21,B07PMQTB6T,Appario Retail Private Ltd,"Keep your laptop, tablet and everyday essentials securely protected within the Dell Pro Slim Backpack 15 (PO1520PS), a slim-fit backpack designed for work and beyond",Lightweight and comfortable to carry | All your everyday essentials at your fingertips | Dependable everyday companion | Loading EDP related metadata | See more product details
22,B08Z21W4TG,RetailEZ Pvt Ltd,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack","Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side, | Loading EDP related metadata"
23,B07CJCFNZG,RetailEZ Pvt Ltd,NA,"Laptop Compatibility: No, Strap Type: Adjustable | Outer Material: Polyester, Color: Blue | Water Resistance: Water resistant, Capacity: 29 liters; Dimensions: 33 x 51 x 22 cms (LxHxW) | Number of Wheels: 0, Number of compartments: 3 | Mesh Padding on back & shoulder strap to provide comfort & better back support | Loading EDP related metadata"
24,B071KNXQ7Y,RetailEZ Pvt Ltd,NA,Highly water-resistant finish to save inner items from water splashes | Separate shoe pocket ensures your sneakers separated from your day outfit | adjustable shoulder strap | Main compartment with double zip closure | Large pocket for laundry or shoes & internal slip pockets for organization | Loading EDP related metadata
25,B08FKXCJNQ,Appario Retail Private Ltd,NA,"Made of durable water-resistant exterior fabric as well as protective soft padded interior. Laced with zippers for a long life span. it's also called such as side bag for men and sling bags for men .bag for men | Laptop bags Ultra Protection: Tabelito laptop shoulder bag features protective padding at the bottom of the individual laptop compartment and ultra-thick. you can use it as bags for mens ,side bag for men / side bag for men / office bag for women / gift for men . it's can be use as a interview bag or interview purpose | Well-organized: The main compartment features a laptop slot and a tablet slot for up to 11"" iPad Pro with smart case & keyboard. its also use as a office bag for women , office bag for men | Compact and Easy to Carry: Being lightweight, this bag can be comfortably carried with the handle . you can use it such as shoulder bag men , messenger bags for men , leather laptop bags for men/ laether briefcase / leather bag for men / office bag for women / laptop accessories / backpack for women | Adjustable shoulder strap, or hang on your suitcase through the luggage strap or slipped inside your backpack, messenger bag | Bag is perfect to carry laptops notebook up to 15.6 inch include 2019 New MacBook Pro 16 , MacBook Pro (Retina) 15, and other 14-15.6 inch Dell XPS / HP | Two front pockets With small and large pockets, and multiple elastic bands to make it easier than ever to organize accessories such as charger, cable, mouse, hub etc. | Loading EDP related metadata | Laptop compartment size:43CM x 30CM x 8CM/16.9 x 11.8 x 3.1 INCH,Fits most 15 - 15.6 inch Laptop | Adjustable shoulder strap, or hang on your suitcase through the luggage strap or slipped inside your backpack, messenger bag | Show More"
26,B0BR123Z9J,VOETEX ZONE®,bag,"♥ Makeup bag Open flat for easy access: The flat makeup bag has a large opening design for quick access to items, making it a must-have bag for travel, not only it is durable but also exquisite workmanship; | ♥ Large capacity and Clear compartments: The cosmetic bag can hold many small items, such as various makeup brushes, lipsticks, small eye shadow trays, cosmetics, etc. There are 3 pockets and 2 compartments inside the cosmetic bag, which can be sorted and stored so that your Life is more orderly; | ♥ Waterproof and wipeable: The make up bag is not only waterproof on the outside, can be wiped quickly, and stain-resistant, but also the inside of the make up bag is waterproof, can be wiped quickly, and stain-resistant. If lotion is poured on it, just wipe it off with a paper towel. Keep your makeup bag clean and flawless forever; | ♥ Multifunctional storage bag: Our makeup organizer bag can be used as a cosmetic bag, a toiletry bag, a pencil bag, and a daily storage bag; it can be used by any people and can store various small items in all aspects; | ♥ Perfect gift :Show your appreciation to your friend, wife, girlfriend, mother. This fashion portable bag is a thoughtful gift to women who are driven to looking good.It would be a great gift for women and girls,Mother's day /woman day/Birthday/Christmas Gift. | Loading EDP related metadata"
27,B09321GJXZ,Appario Retail Private Ltd,NA,"PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want. | LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip. | EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag. | DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary. | BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you. | Loading EDP related metadata | See more product details"
28,B07FC4D9B5,CLOUD STATION,"Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby.","Outer Material: Fabric, Color: Black; Water resistant | Capacity: 21 liters; Weight: 480 grams; Dimensions: 18 inches x 13 inches x 5 inches (LxWxH) | Number of compartments: 2 | Laptop Compatibility: Yes, Laptop Size: 15 inches | Pocket Description: Utility Pocket; Closure Type: Zipper; Age Range Description: Adult; Style Name: Traditional Backpacks; Special Features: Laptop Compartment; Lining Description: Nylon | Fits upto 15"",Side mesh pocket for water bottle | Loading EDP related metadata"
29,B07Q7CNPMV,RetailEZ Pvt Ltd,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment.","Outer Material: Polyester, Color: Sea Blue | Not water resistant. With Rain Cover:No | Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH) | Number of compartments: 2; Laptop Compatibility: No | Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket | Drawstring, 2 Compartments, Compact Size | Loading EDP related metadata"
30,B07QL8633G,Appario Retail Private Ltd,NA,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend. | Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls | Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack. | Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit. | Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only. | Loading EDP related metadata"
31,B07JN9G66H,SHOPPERS STOP COM,"[' This beautiful tote is made with our signature floral printed leather like material that is so fresh and easy on the eyes. The chrome/silver trims add a touch of elegance to the bag and comes with a detachable sling strap that makes it comfortable to carry as a shoulder bag. The interior is very spacious and has pockets for your wallet, keys, phone, sanitizer, etc. This stylish handbag can easily be paired with all your comfortable summer outfits, giving them a touch of freshness. These branded Lino Perros bags are a must-have for all the ladies/girls. ', ' Lino Perros tote bag collection stands a class apart. Luxuriously textured premium material renders durability and authenticity. High quality beautiful trims add charm to the look. ', ' The textured detail makes it simple yet trendy. Accurate size and ample space in a compact style renders it a sleek look. ', ' Straight from the Brand ', ' A brand that offers contemporary design with luxury well defined. Lino Perros embodies a fresh outlook to each of its product. Following acute detailing for its collection, it nurtures every range with panache. ', ' With contemporary design, the tote bag collection offers functionality. With multiple compartments and spacious internal space, it keeps essentials organised. An extremely comfortable strap makes it perfect to carry around and style with multiple looks. ']",tote | trendy | premium | shoulder strap | printed | Loading EDP related metadata
32,B09WZHX3B1,Appario Retail Private Ltd,NA,"PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack . | Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling | COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women . | Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc; | MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers. | Loading EDP related metadata | See more product details"
