,ASIN,MANUFACTURER,PRODUCT_DESCRIPTION,DESCRIPTION
61,B09SHTBFQF,Appario Retail Private Ltd,"[' Extra rain cover and water resistance material for dual protection while rainy ', ' (NOTE: Not a under water case and do not put it into water) ']","Dimension : 10'' x 6'' x 8'' , Internal size: 9'' x 5'' x 7'' ; Fits 1 camera +1 spare lens + mobile phone + filter + SD card. | Multiple Accessory Pockets to organize extra batteries, memory cards, cables, lens caps, or other small accessories. | Detachable shoulder strap is adjustable and can also be worn cross-body. Made from durable polyester material, outfitted with reinforced padded carry handle. | The camera compartment is fully padded with closed cell dense foam padding to protect valuable cameras and accessories. | Package Includes: 1*waterproof Camera Case Bag 1*Shoulder Strap 1*Rain Cover 2*Spacer Pad | Loading EDP related metadata"
62,B00Z0NMFKU,FOSTELO,NA,"Warranty :- 1 Year Warranty On Manufacturing Defects. 100% Quality Assured. | Dimensions (In Inches) :- 12"" Tall X 17"" Wide X 6"" Deep | Compartments :- 1 Zip With 2 Compartments And 1 Back Zip Pocket | Material :-100% PU | Colour :- Black | Loading EDP related metadata"
63,B072MH8KBB,HOUSE OF QUIRK,"[' House of Quirk handy Travel Toiletry Bag will help to storage all basic travel personal belongings no matter you are going on weekends or all kinds of vacations, wonderful packing organizer for your every travel. Enjoy your perfect trip with House of Quirk Toiletry Bag! ', "" The rotatable hanging hook for hanging is easy to carry it into the bathroom at the hotel and hang it on the door or wall. So that you don't need to put your bathroom bag on the ground or dirty counter-tops. "", "" One large main compartment to hold your basic normally size travel essentials, a front zipper pocket and mesh pocket are convenient for small items like toothbrush. Separate organized your personal belongs perfectly, so you don't need to throw everything in carry-on no matter the material or size anymore. Get everything safe, arrange them in a systematic way so that you know where's what, find everything immediately instead of digging in your bag. "", "" It is the right size to hold all your basic travel toiletries kits, and perfect size that allows you place it into the suitcase. Everything can fit in perfectly and the items in your carry-on won't get wet or dirty even if the liquid in bottles leak out. All your valuables will be securely protected in your backpack or suitcase. "", ' Versatile and Excellent Gift Idea ', "" It is not only a portable versatile travel bag for travel, but also can be used as dopp bags, travel shower bag, shaving kits bag, soap bag, hygiene kit, men's ditty bag, handy packing organizer for travel essentials. All in all, it will be an excellent travel partner for your wonderful trip! "", ' It is simple outlook design, never out of fashion. Whether you’re globetrotting or planning a short weekend getaway, House of Quirk hardworking and portable toiletry bag will be a handy essential kits bag to keep your beauty products organized and accessible. It will be a great choice when packing for business trips, summer vacations, or out-of-town family holidays or simply heading to the gym. ', ' This dopp kit is made of durable water resistant material. The advanced hydrophobic surface water-repellent fabric allows water roll off immediately, built in leak-proof and water-proof linings, keeping your clothing in carry-on or suit case safe and clean. ', "" The small front zipper pocket and mesh pocket are convenient for small essentials like toothbrush. Arrange all the items in a systematic way so that you know where's what, find everything immediately instead of digging in your bag. "", ' There is 2 durable handles, one sturdy handle across the top and one on the side that allow you pick this travel accessories organizer up and put it into backpack or carry-on easily, handy and durable. ']","Size - 25 x 15 x 13.5 cm. A large compartment and Mesh pockets to keep all personal belongings (Shaving Kit, Cosmetic, Shampoo, Facial Cleanser, Toothbrush, etc.) in one place; Suitable for personal Travel | Water-resistant material -- High Quality water-resistant fabric (durable and Lightweight); strong hanging hook, best zipper and high standard workmanship to ensure your toiletry bag. | Handy User-friendly design -- Main compartment features mesh pockets and main storage room for large item organize; Zippered front pocket adding extra storage | Easy to carry and hang -- A built-in strong hanging hook, easy to keep on towel racks, shower rods or on door knobs. Durable carrying handle convenient to carry or hung up. | Multiple Applications -- Ideal for vacation, business, gym, camping or outdoor activity. | Loading EDP related metadata"
64,B08VS8JBNK,ASTRID BAGS,"[' Durable High quality bag that will last you for years and years. Fashion, elegant and used in countless ways, it makes the ultimate gift to ladies of all ages wishing to look stunning on the beach, or in the street in summer! ', ' This beautiful sling is a perfect combination of style and functionality. Its spacious enough to carry all your essentials but in style ofcourse..!!! ', ' Even when you are not on vacation, our reusable high quality bag is ideal for going to the pool, grocery shopping, school, work, travel, gym, and church. These bags are perfect for custom DIY projects, art & crafts, decorations, and wedding gift bags for your bridesmaid. ']",✅ Lightweight yet durable bag for use or everyday outings | ✅ Made Using 100% Sustainable And Eco Freindly Cotton Materials | ✅ We have used high-quality metal and fabric in this bag | ✅ The bags work quite well for casual as well as party wear | ✅ The soft Straps make it convenient for you to hold it the whole day | Loading EDP related metadata
65,B00VWM11HQ,RetailEZ Pvt Ltd,"Intuitively crafted at the Gear Design Studio to balance comfort, style, endurance and functionality. Gear is reckoned for delivering high quality accessories since its inception and has come up with innovation through the years. It is an ideal inclusion to your collection of bags as it is replete with features. Designed with excellence, it is made from high quality fabric. This backpack is long lasting, lightweight and water repellent as well.","Outer Material: Polyester, Inner Material: Polyester, Color: Navy Blue and Beige; Anti-sweat fabric on inner-side of shoulder straps | Wear Resistant: Wearproof, Water Resistance: waterproofDimensions: 32 cms x 18 cms x 47 cms (LxWxH) | Capacity: 26 liters, Weight: 0.534 Kg | Number of compartments: 3; Strap Type: Adjustable | Age Range Description: Adult; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Closure Type: Zipper; Special Features: Back Padding | Loading EDP related metadata"
66,B099ZZ57FT,RK World Infocom Pvt Ltd,"Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 25 Bags)","HYGIENICALLY PRE-SEALED : LuvLap Breast Milk Storage Bags have been hygienically pre-sealed and are leak proof. Can store, freeze and protect precious breastmilk | DURABLE DOUBLE-LAYER MATERIAL : This breastmilk storage bags made of durable double-layer material and built-in double zipper seal. It is Presterilized, free of BPA | SELF-STANDING DESIGN : The bags are self-standing. Provides enough space to write the details on its surface, allowing you to document the date and information about storage | SAFE & CONVENIENT : The bags lay flat, saves space. Designed for your safe and instant usage | Resistant to low temperature and high temperature. It can withstand minus 20 degrees to high temperature 120 degrees | Loading EDP related metadata | See more product details"
67,B0BNTL7Z7J,Cocoblu Retail,"A bag that carries your world! A tote bag is a shoulder bag with parallel handles and comes either with or without side panels. It can also be loose or structured depending on the functionality. It has one big spacious compartment or can be organized into 2-3 main compartments. It's perfect for long hour outings, shopping or as work wear bags.","A bag that carries your world! A tote bag is a shoulder bag with parallel handles and comes either with or without side panels. | Blue exterior with 1 main compartment I 3 total number of pocket I Zipper closure I Cruelty-free premium material | Dimension :- Length : 40.64 cm x Width : 12.7 cm x Height : 30.48 cm | Made in India | 6 Months warranty | Leading fashion laptop bag brand since 30 years. | The elegant women's laptop bag is a perfect match for different occasions, such as travel, shopping, and other daily use, which could be a great ideal gift for your family and friends on their birthdays, anniversaries, weddings, and other special events. | Loading EDP related metadata"
68,B08Z619V6Z,Veneer Store,NA,Multi Compartment Organizer The men laptop briefcase includes external 2 pouches & 2 pen slots and inside several slots in front large pocket with Velcro closure under flap over storage pen holders documents binder power cords mouse1 main zipper Pocket with foam padded sleeve fits most 15. 6 inch Laptop notebooks MacBook Ultrabook Chromebook back invisible zipper pocket for your valuables | Durable Material This computer laptop bag is made of high quality water resistant durable synthetic Leather with smooth metal zipper and durable metal hook of strap Stylish and functional this is a nice gift idea for Mothers day Fathers day from daughter son | Easy Carrying Men's laptop messenger bag comes with a flat pass-through strap along the back which allows the men briefcase bag to securely slip over the handle of any rolling luggage for hands free transport | Daily Usage The briefcase is water resistant and antitheft Office bag with metal hooks and metal double zippers keep long lasting for men women Great for business school gym travel | Comfort & Convenience Dual sturdy wrapped bale handles for comfortable use detachable adjustable PU padding shoulder strap inside the bag can easily convert your computer briefcase bag to a single shoulder bag which bring you convenience in different occasion | Loading EDP related metadata
69,B07YXBTD6Z,Cocoblu Retail,NA,Compact sling bag | 17 cm height x 23 cm length x 7 cm width | Single compartment with two pockets | Classic style suitable for all occasion and outfits | Loading EDP related metadata
70,B099NM8621,ZIPLINE,NA,"Plenty of Space & Padded Laptop Sleeve - The laptop bag is a decent in size that fits 13''MacBook Pro.Main compartment with zipper closure outside;The inside consist of a divider,a 13''laptop can easily fit inside and a built in divider between the inside compartment to help separate them all.1 zipper pocket inside for significant articles such as wallets and identification documents, inner slip pockets,1 back slot is perfect for an iPad mini. | Loading EDP related metadata"
